Operator,Infeasible_mean_prob,Infeasible_std_prob,Infeasible_empirical_frac,Infeasible_empirical_count,"Feasible, High Distance_mean_prob","Feasible, High Distance_std_prob","Feasible, High Distance_empirical_frac","Feasible, High Distance_empirical_count","Feasible, Compact_mean_prob","Feasible, Compact_std_prob","Feasible, Compact_empirical_frac","Feasible, Compact_empirical_count"
Reinsert-nC-Max1-NewV-SameV-nF_SameV,0.07764703997521596,0.02677623061885203,0.05221339387060159,414,0.08245229140053026,0.012622430569057706,0.00555719484607062,113,0.08699248003993068,0.011291278018424321,0.0445493435609972,906
Reinsert-C-Max5-NewV-SameV-nF_SameV,0.1937168889078453,0.07018607586712097,0.7433472064573086,5894,0.12131437859470026,0.038876357081091654,0.7307465329005607,14859,0.11028203138445146,0.0384344718999899,0.6158233761125043,12524
Reinsert-nC-Max1-NewV-NoSameV-nF_SameV,0.07384051922330535,0.016585352510580104,0.0022701475595913734,18,0.08403586010672419,0.012660980553667746,0.0195239500344251,397,0.09050039521730327,0.005721093314795973,0.04361508580419924,887
Reinsert-nC-Max1-NoNewV-NoSameV-nF_SameV,0.0916047459680844,0.015016674247202386,0.01021566401816118,81,0.08966222432364788,0.0064090309539525355,0.008950526212255335,182,0.09044293547110988,0.006275000125911044,0.037960367802527414,772
RouteElimination,0.13679278251251165,0.03585744357022591,0.14011855215033422,1111,0.10927483407421264,0.023132449939438793,0.13642175666371595,2774,0.10339482263512402,0.021386775249583444,0.171608398485519,3490
TwoOpt,0.06295890277863556,0.0165688460437166,0.012485811577752554,99,0.08123963250350558,0.010812455989717355,0.0038359398052522867,78,0.08691573139030409,0.008209204237478156,0.01219452229925751,248
SwapBetween-best,0.08015674717962998,0.018418745059954236,0.006179846134443183,49,0.08587846426736427,0.009080270680041271,0.00924559850496705,188,0.08752615559678921,0.00756218069021384,0.03019127698283916,614
Merge-min-N2-F-R,0.06602858566898824,0.01756428924358018,0.004288056501450372,34,0.08539417690798176,0.010351471879369327,0.00472115668338743,96,0.08685329236856233,0.006923249468337827,0.0031961449574666864,65
CLS-M2,0.07732137170091585,0.0216428470305282,0.02080968596292092,165,0.08629981290797832,0.012685004076812167,0.02876954853939215,585,0.08595188848141982,0.008790152723939376,0.00840831981118159,171
CLS-M3,0.06674408664705361,0.020031762928095227,0.0022701475595913734,18,0.09169674564321138,0.015444923868050355,0.044900167207632534,913,0.08485476217983354,0.008644364118529738,0.00806411958499287,164
CLS-M4,0.07318832969927505,0.017095455803112895,0.005801488207844621,46,0.08275157931429589,0.009704827276247061,0.007327628602340907,149,0.08628550520513052,0.008107671458494354,0.02438904459851502,496
