Operator,Imbalanced Routes_mean_prob,Imbalanced Routes_std_prob,Imbalanced Routes_empirical_frac,Imbalanced Routes_empirical_count,Balanced Routes_mean_prob,Balanced Routes_std_prob,Balanced Routes_empirical_frac,Balanced Routes_empirical_count
Reinsert-nC-Max1-NewV-SameV-nF_SameV,0.08389733415881347,0.01281909910697614,0.022973238882329793,467,0.08554716369906563,0.011464941290588056,0.027134640908420587,552
Reinsert-C-Max5-NewV-SameV-nF_SameV,0.12101112731242393,0.04099783313077821,0.6762101534828807,13746,0.11058831296285064,0.03625505315915221,0.6703534385292238,13637
Reinsert-nC-Max1-NewV-NoSameV-nF_SameV,0.08580065129521981,0.010960011140144776,0.02976190476190476,605,0.08873499864401505,0.009460511978428416,0.033377574595684016,679
Reinsert-nC-Max1-NoNewV-NoSameV-nF_SameV,0.09014278644602783,0.006953785285834909,0.033844942935852024,688,0.08996249742900084,0.005691259967568199,0.013075750872536008,266
RouteElimination,0.10765050861922916,0.0248505400155608,0.12795159386068478,2601,0.10501968464748888,0.019719541524657894,0.18006193776729096,3663
TwoOpt,0.08257429655520367,0.010909252084290241,0.010133805588351042,206,0.08558037734044716,0.008768758676887254,0.005898834980091432,120
SwapBetween-best,0.08581388897978323,0.008974897389670349,0.01372491145218418,279,0.08759019729653707,0.007673007700518485,0.025709089121565158,523
Merge-min-N2-F-R,0.08490393291231552,0.00869931429680199,0.003148366784730421,64,0.08734274452660884,0.00880294581744385,0.004768224942240574,97
CLS-M2,0.08546725788074173,0.01274172381449707,0.024350649350649352,495,0.08678393223800561,0.008662812941683733,0.012829966081698865,261
CLS-M3,0.08733403284981589,0.012689339521212277,0.03079496261314443,626,0.08921627609444416,0.013185958168638278,0.0221697881335103,451
CLS-M4,0.08540418287625537,0.010031745141878034,0.02710547028728847,551,0.0836338152497229,0.007998170913586422,0.004620754067738288,94
