Operator,Many Routes_mean_prob,Many Routes_std_prob,Many Routes_empirical_frac,Many Routes_empirical_count,Few Routes_mean_prob,Few Routes_std_prob,Few Routes_empirical_frac,Few Routes_empirical_count
Reinsert-nC-Max1-NewV-SameV-nF_SameV,0.08303773816963697,0.012764032935563272,0.014748793039418538,278,0.08617783123228691,0.011471226185982727,0.03395655760241958,741
Reinsert-C-Max5-NewV-SameV-nF_SameV,0.12259265010488388,0.04555462877067275,0.7396148336781793,13941,0.10992866761906644,0.031223119873932278,0.615983869489506,13442
Reinsert-nC-Max1-NewV-NoSameV-nF_SameV,0.08640566178638964,0.011001335220544835,0.014006048066210409,264,0.0880135367029955,0.009675045821190246,0.04674182018146824,1020
Reinsert-nC-Max1-NoNewV-NoSameV-nF_SameV,0.08898173807854615,0.006900473443098025,0.012891930606398217,243,0.09097758532813223,0.0056815016242282215,0.03258179818531757,711
RouteElimination,0.10934773083113948,0.024295572100737742,0.14870815427874157,2803,0.103731995488929,0.02040901305473041,0.15860141141966821,3461
TwoOpt,0.08305914515535631,0.010544268866799184,0.003766778078412648,71,0.08495784481612985,0.009436577628195582,0.01168545504536706,255
SwapBetween-best,0.08511810131931129,0.009040982540114824,0.016605655472438856,313,0.08807080134803358,0.00753294247877304,0.022408578498762717,489
Merge-min-N2-F-R,0.08501492661956964,0.010675830872258827,0.003766778078412648,71,0.08708158043690245,0.006714374486239244,0.0041242782513060215,90
CLS-M2,0.08608107098584131,0.0127679193940142,0.024510584115868216,462,0.08616450576048681,0.00901049231947208,0.01347264228759967,294
CLS-M3,0.08839765328496317,0.014559960023699338,0.02069075282508356,390,0.08816999164109908,0.011427891518397865,0.03148199065163596,687
CLS-M4,0.08196358405371024,0.009172352609596993,0.0006896917608361186,13,0.0867256593027792,0.008465320556152836,0.02896159838694895,632
